No,Contents
363,"RT @Dunkerque1587: @CarolineroF Lo más hironico es que cuando sacaron a los Colombianos de Venezuela disque porque las mujeres eran prostitutas y los hombres paracos ahí si los venezolanos contenticos,pero ahora nosotros si tenemos que mantenerlos de todo y sobretodo porque según ellos somos hermanos 😤"
366,RT @LuisChataing: NO todos somos el asesino que le arrebató la vida a Diana. Los criminales no son exclusivos de ningún país. Meter a TODOS los venezolanos en el mismo sacó de un criminal es como meter a TODOS los ecuatorianos en el saco de un delincuente nacido en Ecuador. #PiensaloLeninMoreno
367,@PoliciaColombia @PoliciaBquilla nos acaban de atracar en la puerta de la casa dos tipos venezolanos en moto con arma en la cara de mi hija que inseguridad por Dios Adelita de Char
370,"RT @fertineo: Sr. Presidente @Lenin no generalice cuando hable de los venezolanos, no somos unos criminales. Porque entonces hablemos: este Sr. Es ecuatoriano y fue responsable de la matanza de 28 mineros en el sur de Venezuela. Yo sería incapaz de decir q TODOS los ecuatorianos son criminales https://t.co/MIig2lLWSx"
378,Presencia de venezolanos ha aumentado inseguridad y prostitución en Planadas: https://t.co/Z02R8GW0XX vía @YouTube
379,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
380,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
383,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
385,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
388,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
389,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
390,RT @LuisTrincado: Me escriben unos panas vzlanos desde Colombia molestos porque allá les dicen que los venecos son ladrones y las venecas putas y yo les digo que no se den por aludidos; eso es exactamente lo mismo que en los años 1970-80 decíamos de los colombianos que llegaron por millones.
393,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
394,"“Expulsar venezolanos y devolverlos al país es condenarlos a muerte"" https://t.co/JJeTSsVae6 vía @elnacionalweb"
395,@ELTIEMPOTELE Y entonces porque putas Colombia está lleno de venezolanos ?
399,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
403,RT @hcapriles: Es inaceptable que se use la condición que tienen los presos en el país para imponerles una posición política! Qué vean las ONG defensoras de DDHH cómo los adoctrinan. Estos venezolanos están presos dos veces porque aunque hayan cometido un delito tienen derecho a pensar distinto https://t.co/L8kmhB7dSw
407,"Ciudanos de Colombia favor informensen y analicen quien es @petrogustavo Abstract: ""Es un Peligro"" q este en segundo lugar en las encuestas. Causas: 1. Discurso populista 2. Experiencia fallida en administracion publica 3. Cercano a Chavistas Venezolanos @ClaudiaLopez"
408,RT @CaraotaDigital: #LoMásLeído #Video Peruano que llamó “ratas” a venezolanos en autobús pidió disculpas en programa de TV https://t.co/v5ovpnRQWT
411,QT @alfredohnc: RT @diegomejianavar: VOTA CONTRA CASTROCHAVISMO COMUNISTA PETRISTA. https://t.co/FLZDV4Zyeq ; Ayer los Venezolanos no vieron el peligro que significa esta bandera en su país. // Hoy #PetroEnMedellin https://t.co/eMk8S5HWLy
413,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
417,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
418,"RT @NTN24ve: #VIDEO ""Presos venezolanos optan por comer ratas y palomas para no morir de hambre"": Periodista Pableysa Ostos https://t.co/7aGbfgU0QF https://t.co/dRkMbqEKeg"
421,"RT @ElNacionalWeb: “Expulsar venezolanos y devolverlos al país es condenarlos a muerte"" https://t.co/Kw67D7MB5S https://t.co/sF2P3lQd2I"
425,"QT @R_VERGARAH: RT @CGurisattiNTN24: Esta es una muy buena pregunta para los candidatos. Gracias por formularla. #venezolanosenretorcn https://t.co/HbUboOH… ; #VenezolanosEnRetoRCN 1 de cada 10 venezolanos están trabajando dignamente en Colombia, otros estan pidiendo limosna, prostitución y delincuencia. Si en Colombia no se le garantiza el trabajo a los mismos colombianos ¿que solución tiene los candidatos para este problema?"
426,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
427,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
429,RT @galeano_27: Indígenas venezolanos bloquean el paso peatonal por el puente Francisco de Paula Santander. La comunidad étnica delinque con paso de mercancía de contrabando autoridades intentan frenar el delito. https://t.co/xDWccDXsuc
432,"QT @Vicme100: Los que la escuchan son peores que ella ! https://t.co/uQMjqNpXGK ; Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
433,"Mientras los venezolanos huyen del país por falta de comida, medicinas, e inseguridad, el desgobierno aprueba millonaria cifra para realización de Festival de Salsa, así o mas jodidos."
434,"QT @CarrillonavasG: RT @lahelenadetroya: Y Ya està pidiendo para los inmigrantes venezolanos, que peligro! https://t.co/hS3RntRtbu ; @JuanManSantos @ParquesColombia @MinAmbienteCo @LuisGMurillo @inst_humboldt @WWFColombia @InstitutoSINCHI @infopresidencia #MananasBLU @NoticiasCaracol @NancyViveros10 @VancliffDesign @Natalia27233388 @pretoriana81 @Yohana_Ib @diana_giraldo1 @IvanDuque @Claraaguilar11 @A_OrdonezM @JoseFdoSanin @LuisRoj97538150 @LuqueCampo @jurumo @saludhernandezm @VickyDavilaH #MentiraTrasMentira @JuanManSantos https://t.co/7qcx4P3NpS"
435,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
436,"RT @liliantintori: En @VoluntadPopular NO militan terroristas ni asesinos, sino líderes sociales comprometidos en buscar soluciones ante los problemas de los venezolanos. Trabajar por un mejor país no es delito #DDHH"
437,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
438,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
439,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
440,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
441,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
443,"“Cuando colombianos migraron a Venezuela, este era un país rico y en democracia. Ahora en reciprocidad los venezolanos llegan pero a una Colombia con una economía maltrecha, con unas desigualdades sociales agresivas y con una inseguridad urbana aterradora” https://t.co/1cH3T06y85"
444,QT @hcapriles: Indignante. https://t.co/Y9JllJ14QV ; Es inaceptable que se use la condición que tienen los presos en el país para imponerles una posición política! Qué vean las ONG defensoras de DDHH cómo los adoctrinan. Estos venezolanos están presos dos veces porque aunque hayan cometido un delito tienen derecho a pensar distinto https://t.co/L8kmhB7dSw
445,"RT @A_OrdonezM: Hoy hablaré con @VickyDavilaH sobre los venezolanos en el país y su impacto en la seguridad y el trabajo de los colombianos, sobre los violadores de niños y la necesidad de evaluar la pena de muerte y sobre cómo someteremos a los bandidos al imperio de la ley. @WRadioColombia https://t.co/0o7qrk5ZiZ"
448,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
449,RT @alfredohnc: Ayer los Venezolanos no vieron el peligro que significa esta bandera en su país. // Hoy #PetroEnMedellin https://t.co/eMk8S5HWLy
450,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
452,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
453,RT @DatosLatinos: ► Desmantelan banda que importaba prostitutas venezolanas https://t.co/vfXXx8TOjr https://t.co/AvYP23zS3B
455,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
458,"RT @OrozcoRosalin: “Cuando colombianos migraron a Venezuela, este era un país rico y en democracia. Ahora en reciprocidad los venezolanos llegan pero a una Colombia con una economía maltrecha, con unas desigualdades sociales agresivas y con una inseguridad urbana aterradora” https://t.co/1cH3T06y85"
460,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
461,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
